发送时间：2020-06-04 19:01:52 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2020-06-04 19:02:49 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2020-06-04 19:05:28 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2020-06-05 09:51:34 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 404: Not Found 
发送时间：2020-06-05 09:53:01 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 404: Not Found 
发送时间：2020-06-05 09:57:01 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  'Response' object has no attribute 'read' 
发送时间：2020-06-05 09:57:58 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  'Response' object has no attribute 'decode' 
发送时间：2020-06-05 09:59:01 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 404: Not Found 
发送时间：2020-06-05 10:04:32 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 404: Not Found 
发送时间：2020-06-05 10:05:45 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2020-06-05 10:11:10 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2020-06-05 10:12:10 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2020-06-05 10:13:01 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2020-06-05 10:16:14 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2020-06-05 10:19:45 	 服务器地址：http://0.0.0.0:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10049] 在其上下文中，该请求的地址无效。> 
发送时间：2020-06-05 10:22:15 	 服务器地址：http://0.0.0.0:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10049] 在其上下文中，该请求的地址无效。> 
发送时间：2020-06-05 10:23:12 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 404: Not Found 
发送时间：2020-06-05 10:23:42 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2020-06-05 11:09:58 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2020-06-05 11:10:58 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
